iter	Passed	Remaining
895	1126	130
896	1127	129
897	1127	128
898	1128	126
899	1129	125
900	1130	124
901	1131	122
902	1132	121
903	1133	120
904	1134	119
905	1134	117
906	1135	116
907	1136	115
908	1137	113
909	1137	112
910	1138	111
911	1139	109
912	1139	108
913	1140	107
914	1141	106
915	1142	104
916	1142	103
917	1143	102
918	1144	100
919	1145	99
920	1146	98
921	1147	97
922	1147	95
923	1148	94
924	1149	93
925	1149	91
926	1150	90
927	1151	89
928	1152	88
929	1152	86
930	1153	85
931	1154	84
932	1154	82
933	1155	81
934	1156	80
935	1156	79
936	1158	77
937	1158	76
938	1160	75
939	1161	74
940	1162	72
941	1162	71
942	1163	70
943	1164	69
944	1165	67
945	1166	66
946	1167	65
947	1167	64
948	1168	62
949	1169	61
950	1170	60
951	1171	59
952	1171	57
953	1172	56
954	1173	55
955	1175	54
956	1176	52
957	1176	51
958	1178	50
959	1179	49
960	1180	47
961	1181	46
962	1182	45
963	1182	44
964	1183	42
965	1184	41
966	1184	40
967	1185	39
968	1186	37
969	1187	36
970	1187	35
971	1188	34
972	1189	33
973	1191	31
974	1191	30
975	1192	29
976	1193	28
977	1194	26
978	1195	25
979	1196	24
980	1197	23
981	1197	21
982	1198	20
983	1199	19
984	1200	18
985	1200	17
986	1201	15
987	1202	14
988	1202	13
989	1203	12
990	1204	10
991	1205	9
992	1206	8
993	1207	7
994	1208	6
995	1208	4
996	1209	3
997	1210	2
998	1211	1
999	1211	0
